AUC,PR_AUC,Precision,Recall,F1,Accuracy,PosEdges,InputGraph,TargetGraph,InputEdges,TargetEdges,Scenario,Seed,BestEpoch
0.9770392854727846,0.9851779383071209,0.6545903257650543,0.9807720751368141,0.7851518560179978,0.7316225410442242,6761,531,532,6539,6761,low_density,1,46
0.9729638585015755,0.982210417182608,0.6501009746246378,0.9771677444899036,0.780765580512496,0.7256169988121948,7577,1082,1083,6496,7577,low_density,1,46
0.958744669974133,0.9722878152400805,0.6507674533751444,0.9620592899841406,0.7763721388136845,0.7228864218616567,8197,1145,1146,6588,8197,low_density,1,46
0.9804749515839783,0.9867397389805163,0.6527162614119136,0.9843238822246456,0.7849339638023806,0.7303026172300982,7336,406,407,6677,7336,low_density,1,46
0.9740329517733158,0.9843199232878312,0.6503879507074395,0.976027397260274,0.780608052588332,0.7256849315068493,7300,804,805,6496,7300,low_density,1,46
0.9641017408221717,0.9771095524151112,0.6469327618537369,0.9714400643604183,0.7766521948866377,0.7206355591311343,7458,1487,1488,6656,7458,low_density,1,46
0.975493018028351,0.9840526746274333,0.6542072475212776,0.9793773807960068,0.7844292477643345,0.7308551162485223,7613,1208,1209,6597,7613,low_density,1,46
0.9801838980446603,0.987056174844809,0.6550829394866092,0.9835814665368026,0.7864056068528201,0.7328509809378043,7187,1259,1260,6934,7187,low_density,1,46
0.9798736683005406,0.986985119647496,0.650179367322535,0.9816182504513375,0.7822390792571279,0.7267355982274741,6093,547,548,6887,6093,low_density,1,46
0.9731147767589199,0.9813755455736493,0.6590930341280973,0.9812082405345212,0.7885228480340064,0.7368457683741648,7184,853,854,6652,7184,low_density,1,46
0.9665758720439376,0.9783795480407785,0.6534212554594502,0.9693812730275696,0.7806425209740127,0.727607673739042,7871,381,382,6893,7871,low_density,1,46
0.9744032544967155,0.9838499370840587,0.6557509275689627,0.9757561209793567,0.784370477568741,0.7317570811329813,8332,777,778,6885,8332,low_density,1,46
0.9571561233123944,0.9738876568388567,0.646190906353508,0.95533461937973,0.7709256376481859,0.7161299896127021,6739,1361,1362,6701,6739,low_density,1,46
0.9734622196174543,0.9824099427609939,0.6536847242557345,0.9776642335766423,0.7835039485229599,0.7298540145985402,6850,545,546,6729,6850,low_density,1,46
0.968426096300451,0.9803560001776154,0.6495401839264294,0.9715909090909091,0.7785765636232926,0.7236842105263158,6688,1156,1157,6874,6688,low_density,1,46
0.9834963526350694,0.9889487152247315,0.6548642145067033,0.9861524524394979,0.7870681196095647,0.7332082308787369,7727,1291,1292,6489,7727,low_density,2,40
0.9735058164458602,0.9831354848516947,0.6454030166202325,0.9754610135037026,0.776827012025902,0.7197618701902134,6887,546,547,6850,6887,low_density,2,40
0.9824296270641774,0.9884605411637577,0.6520744131108814,0.9860459924090199,0.7850159971560612,0.7299620450993526,8958,696,697,6405,8958,low_density,2,40
0.9624899331691249,0.9769500198707889,0.6445374800637959,0.9636363636363636,0.7724286226257316,0.7160953800298062,6710,1166,1167,5621,6710,low_density,2,40
0.9661461600555823,0.9789126901794394,0.6455392809587217,0.9715430861723446,0.77568,0.7190380761523046,7485,1423,1424,6910,7485,low_density,2,40
0.970033959432812,0.9803287170898415,0.650229250491251,0.9721600447677672,0.7792542753013737,0.7246082820369334,7148,1431,1432,6872,7148,low_density,2,40
0.9661564595981771,0.9792385705453324,0.6420770657325365,0.9699610894941634,0.7726737338044759,0.7146303501945526,6425,1326,1327,6846,6425,low_density,2,40
0.9631290093672641,0.9762009262279495,0.6483298735610492,0.9672015765765766,0.7762964636764207,0.7212837837837838,7104,553,554,6615,7104,low_density,2,40
0.9813026941487549,0.9877228169103176,0.6495625227852716,0.9846642718983144,0.7827567270730368,0.7267200884222161,7238,1573,1574,6818,7238,low_density,2,40
0.9786888634940354,0.98630130006021,0.6465063861758077,0.9809062410943289,0.779350164157138,0.7222855514391564,7018,1682,1683,6557,7018,low_density,2,40
0.9777075990860337,0.9861864487234924,0.6480163671944494,0.981409133773407,0.7806054111974283,0.7241681260945709,7423,1626,1627,6451,7423,low_density,2,40
0.9741435192740503,0.9834371758547933,0.6464778796734858,0.9767052375152253,0.778000121278273,0.7213002436053593,6568,537,538,6889,6568,low_density,2,40
0.9825006374273103,0.9884147646318161,0.6487800988678042,0.9857056329497275,0.7825167091407415,0.7260448213204119,8255,1769,1770,6501,8255,low_density,2,40
0.9675023297097343,0.979976893722067,0.6425457715780296,0.9693117053923718,0.7728067109402307,0.7150372643577378,6843,1655,1656,6809,6843,low_density,2,40
0.9815490210661469,0.9875407629279204,0.6449368975454636,0.9855732725892179,0.7796732340221048,0.7214882308276386,6585,781,782,6927,6585,low_density,2,40
0.9824139752432833,0.988313857506196,0.6492899056042181,0.986816595579682,0.7832375871973738,0.7268967299987075,7737,538,539,6568,7737,low_density,2,40
