AUC,Precision,Recall,F1,Accuracy,MRR,PosEdges,NegEdges,InputGraph,TargetGraph
0.9759418879041831,0.6510118043844857,0.9785804816223067,0.781873417721519,0.7269961977186312,1.0,7890,7890,196,197
0.9776994363907437,0.6461028460543338,0.9815747451173075,0.7792676385976888,0.7219629038201695,1.0,8141,8141,197,198
0.9839550279858597,0.6526587271486005,0.986697247706422,0.785645801944939,0.7307912844036697,1.0,8720,8720,198,199
0.9718501586223729,0.6481337143846887,0.975114006514658,0.7786910831339091,0.7228664495114007,1.0,7675,7675,199,200
0.9788149015699584,0.6510312972843832,0.9832812124127976,0.7833836423745868,0.7281092133750301,1.0,8314,8314,200,201
0.9665710960465705,0.6503438373762563,0.9692532942898975,0.7784008683068018,0.7240680256785674,1.0,8879,8879,201,202
0.9715432804883518,0.6536681051392703,0.9749561146869514,0.7826209488022546,0.7291983616149795,1.0,8545,8545,202,203
0.9803927074423353,0.6499230699610824,0.9831599123767798,0.7825423636462704,0.7267935377875137,1.0,7304,7304,203,204
0.9074651536575725,0.6310934393638171,0.899161568094267,0.7416475865613756,0.6867777022433719,1.0,8826,8826,204,205
0.9795948871409141,0.6537269613439896,0.9801907556859868,0.7843444227005871,0.7304964539007093,1.0,8178,8178,205,206
0.976745925660787,0.6527402996184982,0.9775641025641025,0.7827930591976789,0.7287486064659978,1.0,7176,7176,206,207
0.9843864977741962,0.6559506954276672,0.9875862068965517,0.7883094785306776,0.7347962382445141,1.0,7975,7975,207,208
0.9778159054318989,0.6523984662336646,0.9836007550731477,0.7844742413549753,0.7297663992449268,1.0,8476,8476,208,209
0.970333137355351,0.6474212880898118,0.9793156281920327,0.779511154022054,0.7229954034729316,1.0,7832,7832,209,210
0.9721709164286381,0.652063312605992,0.9758883248730964,0.7817688919010505,0.727580372250423,1.0,7092,7092,210,211
0.9682769254281053,0.6471577531113354,0.973561037318153,0.7774915391220892,0.7213788741302973,1.0,7905,7905,211,212
